hour,demand,solar,wind,grid,charge,discharge,soc,baseline_grid,grid_cost_rate,emission_factor
0,103.49133607854219,0.0,26.0,77.491336,0.0,0.0,0.0,77.49133607854219,6,0.9081106602001054
1,100.49915547632074,0.0,39.0,111.49916,50.0,0.0,47.5,61.49915547632074,6,0.753084777669569
2,98.55986225957402,0.0,48.0,100.55986,50.0,0.0,95.0,50.55986225957402,6,0.7454562418017752
3,99.16054206673262,0.0,34.0,115.16054,50.0,0.0,142.5,65.16054206673262,6,0.7458511274633584
4,104.02264109249394,0.0,30.0,124.02264,50.0,0.0,190.0,74.02264109249394,6,0.7760605607398844
5,113.15286048117805,0.0,27.0,96.679176,10.526316,0.0,200.0,86.15286048117805,6,0.8311891079080594
6,123.26916522289581,0.0,48.0,75.269165,0.0,0.0,200.0,75.26916522289581,8,0.8079862546605289
7,129.6735146644372,15.529143,40.0,74.144372,0.0,0.0,200.0,74.14437195828594,8,0.7728072850495105
8,133.52278359153016,30.0,26.0,30.022784,0.0,47.5,152.5,77.52278359153016,8,0.8529632236805949
9,141.59502990485373,42.426407,45.0,104.16862,50.0,0.0,200.0,54.16862303366088,8,0.7348734651630104
10,146.94996219637184,51.961524,38.0,56.988438,0.0,0.0,200.0,56.98843796930552,8,0.7730361621338044
11,148.3723698257842,57.95555,42.0,48.41682,0.0,0.0,200.0,48.416820248440104,8,0.7915904608234229
12,148.06582238896195,60.0,30.0,58.065822,0.0,0.0,200.0,58.06582238896195,10,0.814017496054259
13,142.16830681827474,57.95555,30.0,4.2127572,0.0,50.0,150.0,54.21275724093064,10,0.8962939903482534
14,139.67697692233594,51.961524,43.0,47.347032,2.6315789,0.0,152.5,44.71545269526962,10,0.7499184455395899
15,137.55558609185474,42.426407,40.0,55.129179,0.0,0.0,152.5,55.12917922066188,10,0.8285586096034029
16,135.06374762692735,30.0,23.0,82.063748,0.0,0.0,152.5,82.06374762692735,10,0.8481036422155106
17,133.26966581433163,15.529143,27.0,140.74052,50.0,0.0,200.0,90.74052310818037,10,0.7116126031799994
18,139.02505131062216,0.0,43.0,46.025051,0.0,50.0,150.0,96.02505131062216,12,0.8518862129753595
19,150.0,0.0,22.0,108.0,0.0,20.0,130.0,128.0,12,0.7426310309218228
20,144.45516206498155,0.0,41.0,103.45516,0.0,0.0,130.0,103.45516206498155,12,0.7162628982463198
21,137.63875207939898,0.0,40.0,47.638752,0.0,50.0,80.0,97.63875207939898,12,0.9372213843133332
22,132.10979944631796,0.0,21.0,71.109799,0.0,40.0,40.0,111.10979944631796,12,0.9414080082686398
23,127.7951001472058,0.0,43.0,64.7951,0.0,20.0,20.0,84.7951001472058,12,0.9020993370291153
